Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	-90	0	-90	-0.999995323194761	0.0	0.9966620093481158
0	-90	0	-90	0	-45	-0.9999962585558089	0.0	0.9973296074784925
0	-90	0	-90	0	0	-0.9999970068446472	0.0	0.997863685982794
0	-90	0	-90	0	45	-0.9999976054757178	0.0	0.9982909487862351
0	-90	0	-90	0	90	-0.9999980843805744	0.0	0.9986327590289881
0	-90	0	-90	40	-90	6.847454902419719	-1.7689890844663954	14.21210432207363
0	-90	0	-90	40	-45	8.398315367514336	-3.510369615423654	21.75212181422321
0	-90	0	-90	40	0	9.250835819092467	-4.264792864014545	26.298217048714328
0	-90	0	-90	40	45	9.09970231946038	-2.361885344348482	30.010908064692075
0	-90	0	-90	40	90	6.471892675650581	-0.1070984020228023	32.72205083539616
0	-90	0	-90	80	-90	10.995323702568523	-3.0424981544841443	46.67725412420084
0	-90	0	-90	80	-45	15.71822613854526	-6.865697975732278	56.81168117828244
0	-90	0	-90	80	0	19.24206442836736	-6.885575980036485	61.94502366239523
0	-90	0	-90	80	45	19.395645959279772	-0.9030475686837951	66.50074791068815
0	-90	0	-90	80	90	13.18338642336952	4.794375196166905	70.33553182027345
0	-90	0	-90	120	-90	15.74120447456239	-1.659489434340168	84.94230406920832
0	-90	0	-90	120	-45	20.40593354591235	-6.860463138937747	95.59372096300622
0	-90	0	-90	120	0	23.053012663104873	-5.678504346765704	100.60345865430041
0	-90	0	-90	120	45	22.084109024248935	0.6609966613710672	105.18213912544807
0	-90	0	-90	120	90	15.124231884757275	6.115301609948807	109.3011360489798
0	-90	0	-90	160	-90	17.93971535479188	-0.5838819649511127	124.10071941721999
0	-90	0	-90	160	-45	22.549947768744957	-5.824432351336063	134.97149987879934
0	-90	0	-90	160	0	24.87566383404239	-4.6780050728999445	140.00148499817402
0	-90	0	-90	160	45	23.535427739321634	1.522512228910979	144.58471980481198
0	-90	0	-90	160	90	16.290418178878188	6.785554738168641	148.8330636471867
0	-90	0	-90	200	-90	17.093766488464695	-0.05305746526454147	164.48392076513625
0	-90	0	-90	200	-45	20.688024746424947	-5.373927936352702	175.14006120754837
0	-90	0	-90	200	0	22.575692703465116	-4.290637612109035	179.7447963501457
0	-90	0	-90	200	45	21.146227366732816	1.8399846667888236	183.97261360599362
0	-90	0	-90	200	90	14.022935994479601	7.032464174343813	188.01231048353094
0	-90	0	-45	0	-90	-0.9999999932223931	-3.051394032845767e-10	0.7784813669397568
0	-90	0	-45	0	-45	-0.9999999945779146	-2.441115226276614e-10	0.8227850935518054
0	-90	0	-45	0	0	-0.9999999956623318	-1.952892181021291e-10	0.8582280748414443
0	-90	0	-45	0	45	-0.9999999965298655	-1.5623137448170327e-10	0.8865824598731553
0	-90	0	-45	0	90	-0.9999999972238924	-1.249850995853626e-10	0.9092659678985242
0	-90	0	-45	40	-90	6.823248772263947	-1.767901587655372	14.162821855720306
0	-90	0	-45	40	-45	8.349259083300009	-3.5048777954206924	21.733003548746616
0	-90	0	-45	40	0	9.185096192839183	-4.26065596246406	26.299338702754138
0	-90	0	-45	40	45	9.027907570778625	-2.3564960190819875	30.02138704186684
0	-90	0	-45	40	90	6.400127062734981	-0.09881675339385376	32.731450312732335
0	-90	0	-45	80	-90	10.934097887845823	-3.028474114794128	46.692730521200346
0	-90	0	-45	80	-45	15.659170910225793	-6.8465531826900925	56.83827721547105
0	-90	0	-45	80	0	19.183086794901296	-6.867224448562798	61.97730294322324
0	-90	0	-45	80	45	19.339286329602604	-0.888274755534975	66.52746488216235
0	-90	0	-45	80	90	13.132113407529939	4.805917347121139	70.35080955210012
0	-90	0	-45	120	-90	15.697876306383911	-1.649530269646375	84.95862225357979
0	-90	0	-45	120	-45	20.366973990146494	-6.852587166587024	95.61335178000861
0	-90	0	-45	120	0	23.018152509237524	-5.6726975998050175	100.62319142912425
0	-90	0	-45	120	45	22.053352130478217	0.6654949613077763	105.19797907387785
0	-90	0	-45	120	90	15.097283438208617	6.119057534712268	109.31139542575912
0	-90	0	-45	160	-90	17.91717273086559	-0.5806629520090327	124.10936649995497
0	-90	0	-45	160	-45	22.530408992381286	-5.821954914393492	134.98015483160313
0	-90	0	-45	160	0	24.858849944309142	-4.676196988534601	140.00948563200396
0	-90	0	-45	160	45	23.521026350674813	1.5239678462601853	144.5909336241188
0	-90	0	-45	160	90	16.278058265251595	6.786811003231435	148.83704390755196
0	-90	0	-45	200	-90	17.083602930621396	-0.05199454268815362	164.4866338041982
0	-90	0	-45	200	-45	20.679800807263426	-5.373113204527791	175.14239833840193
0	-90	0	-45	200	0	22.569136597231804	-4.290040448744734	179.74685902799084
0	-90	0	-45	200	45	21.141002271096003	1.8404753188240468	183.9741379091135
0	-90	0	-45	200	90	14.018729328887051	7.032892642888446	188.01322425734173
0	-90	0	0	0	-90	-0.9999999990027278	-3.0563269765531327e-10	0.7782112723864298
0	-90	0	0	0	-45	-0.9999999992021824	-2.4450615812425063e-10	0.8225690179091438
0	-90	0	0	0	0	-0.999999999361746	-1.956049264994005e-10	0.858055214327315
0	-90	0	0	0	45	-0.9999999994893969	-1.5648394119952042e-10	0.886444171461852
0	-90	0	0	0	90	-0.9999999995915176	-1.2518715295961633e-10	0.9091553371694815
0	-90	0	0	40	-90	6.8232165523550545	-1.7679005022834882	14.162761488919921
0	-90	0	0	40	-45	8.3491946676024	-3.5048710015559563	21.732980394211992
0	-90	0	0	40	0	9.185010532043645	-4.26065065733671	26.29934048401826
0	-90	0	0	40	45	9.027815012561302	-2.3564891694926824	30.021400287649488
0	-90	0	0	40	90	6.400034550195313	-0.0988061945447205	32.731461980543806
0	-90	0	0	80	-90	10.934018996815215	-3.028456033020365	46.69275019555794
0	-90	0	0	80	-45	15.659094945900089	-6.8465286398988345	56.838311124578055
0	-90	0	0	80	0	19.183011127514067	-6.867201091909887	61.977344191351
0	-90	0	0	80	45	19.339214268479274	-0.888256129193131	66.5274991530893
0	-90	0	0	80	90	13.132048092310594	4.805931828368575	70.35082928084522
0	-90	0	0	120	-90	15.697821242654635	-1.649517626129608	84.95864316629417
0	-90	0	0	120	-45	20.366924646532134	-6.8525770906521615	95.61337689371729
0	-90	0	0	120	0	23.018108354299827	-5.672690160729184	100.62321672160255
0	-90	0	0	120	45	22.05331318770545	0.66550070943084	105.19799942635976
0	-90	0	0	120	90	15.097249544924763	6.11906233699509	109.3114086157786
0	-90	0	0	160	-90	17.917143510228087	-0.580659176750177	124.10937770723123
0	-90	0	0	160	-45	22.530383522030572	-5.821952057749244	134.980166037734
0	-90	0	0	160	0	24.8588281442583	-4.676194705871623	140.0094960509509
0	-90	0	0	160	45	23.521007814135984	1.5239695346106599	144.5909417368926
0	-90	0	0	160	90	16.27804254528491	6.786812488138746	148.83704910873072
0	-90	0	0	200	-90	17.083589229270846	-0.051993876237472314	164.48663744989386
0	-90	0	0	200	-45	20.679789627794975	-5.3731126557868585	175.1424014786763
0	-90	0	0	200	0	22.569127408250488	-4.290039676382268	179.74686185850516
0	-90	0	0	200	45	21.14099457761361	1.8404758766269786	183.9741400500035
0	-90	0	0	200	90	14.018723555765865	7.032893156145832	188.01322551377535
0	-90	0	45	0	-90	-0.9999999990104933	-3.0569265776941294e-10	0.7782109380256587
0	-90	0	45	0	-45	-0.9999999992083948	-2.4455412621553035e-10	0.8225687504205269
0	-90	0	45	0	0	-0.9999999993667159	-1.9564330097242428e-10	0.8580550003364215
0	-90	0	45	0	45	-0.9999999994933728	-1.5651464077793943e-10	0.8864440002691372
0	-90	0	45	0	90	-0.9999999995946983	-1.2521171262235154e-10	0.9091552002153097
0	-90	0	45	40	-90	6.823216512461966	-1.767900500537311	14.162761414198583
0	-90	0	45	40	-45	8.349194587983881	-3.504870992580706	21.732980365655465
0	-90	0	45	40	0	9.185010425328706	-4.260650650166586	26.299340486149116
0	-90	0	45	40	45	9.027814896625356	-2.3564891602622318	30.02140030399951
0	-90	0	45	40	90	6.40003497209406	-0.09880630429830983	32.73146195627169
0	-90	0	45	80	-90	10.93401943140659	-3.0284562332507114	46.692750111228186
0	-90	0	45	80	-45	15.65909529083699	-6.846528870992323	56.83831100908706
0	-90	0	45	80	0	19.18301139489565	-6.867201343501132	61.97734404186873
0	-90	0	45	80	45	19.33921449671574	-0.8882563875641658	66.52749903534033
0	-90	0	45	80	90	13.132048284283655	4.80593158468867	70.35082922888367
0	-90	0	45	120	-90	15.69782130289993	-1.6495180231109163	84.9586431577446
0	-90	0	45	120	-45	20.36692466598026	-6.852577492079164	95.61337686240883
0	-90	0	45	120	0	23.018108366396227	-5.672690495795971	100.62321669633093
0	-90	0	45	120	45	22.053313165366863	0.6655003750926074	105.19799942618208
0	-90	0	45	120	90	15.09724948751677	6.119062047413066	109.31140864196855
0	-90	0	45	160	-90	17.917143812829817	-0.5806590369522153	124.10937764360187
0	-90	0	45	160	-45	22.530383939019966	-5.821951971022554	134.98016596844403
0	-90	0	45	160	0	24.858828861662925	-4.676194868709719	140.00949595092
0	-90	0	45	160	45	23.5210084274002	1.5239693235261136	144.59094164788686
0	-90	0	45	160	90	16.27804313156789	6.78681231604535	148.83704906382482
0	-90	0	45	200	-90	17.083590511319386	-0.0519933978943703	164.48663732254647
0	-90	0	45	200	-45	20.679791045195643	-5.373112307811464	175.14240134142244
0	-90	0	45	200	0	22.569128652064283	-4.2900400997946795	179.746861659554
0	-90	0	45	200	45	21.140995815067267	1.8404756715036736	183.97413988388897
0	-90	0	45	200	90	14.018724055776225	7.0328929084829905	188.01322546831136
0	-90	0	90	0	-90	-0.9999999990100015	-3.058100013234158e-10	0.7782109376116247
0	-90	0	90	0	-45	-0.9999999992080013	-2.446480010587326e-10	0.8225687500892997
0	-90	0	90	0	0	-0.9999999993664012	-1.9571840084698609e-10	0.8580550000714398
0	-90	0	90	0	45	-0.999999999493121	-1.5657472067758887e-10	0.8864440000571517
0	-90	0	90	0	90	-0.9999999995944969	-1.252597765420711e-10	0.9091552000457214
0	-90	0	90	40	-90	6.823216512435009	-1.767900501332903	14.162761412834074
0	-90	0	90	40	-45	8.349194587724892	-3.504870993852787	21.732980364570004
0	-90	0	90	40	0	9.1850104255997	-4.2606506521201855	26.2993404853746
0	-90	0	90	40	45	9.027814897451668	-2.356489162666712	30.021400303544944
0	-90	0	90	40	90	6.400034435236935	-0.09880618316909207	32.73146199475555
0	-90	0	90	80	-90	10.93401890980306	-3.0284560206443034	46.69275020946937
0	-90	0	90	80	-45	15.659094866464631	-6.8465286172945925	56.838311155681815
0	-90	0	90	80	0	19.183011054458383	-6.867201071109239	61.977344231794156
0	-90	0	90	80	45	19.33921419289649	-0.8882561091333754	66.5274991878864
0	-90	0	90	80	90	13.132047991040668	4.805931843024465	70.35082930440497
0	-90	0	90	120	-90	15.697821122919708	-1.6495176709491748	84.95864319905189
0	-90	0	90	120	-45	20.366924482021346	-6.852577118386037	95.61337693864954
0	-90	0	90	120	0	23.01810823591086	-5.67269006926955	100.62321678158379
0	-90	0	90	120	45	22.05331314866623	0.6655007683143896	105.19799946523176
0	-90	0	90	120	90	15.09724936266775	6.119062393055281	109.31140865405038
0	-90	0	90	160	-90	17.91714316814204	-0.58065911449168	124.10937775427374
0	-90	0	90	160	-45	22.530383572169765	-5.821952010833839	134.9801660610864
0	-90	0	90	160	0	24.85882839005034	-4.676194675844123	140.00949606332097
0	-90	0	90	160	45	23.521007901446996	1.5239695303886913	144.5909417471502
0	-90	0	90	160	90	16.278042755635443	6.786812505239877	148.83704910648976
0	-90	0	90	200	-90	17.083589731016897	-0.05199219629159302	164.48663734844288
0	-90	0	90	200	-45	20.679790260727717	-5.3731113218660616	175.14240143583189
0	-90	0	90	200	0	22.56912825522921	-4.290038992440145	179.74686176703364
0	-90	0	90	200	45	21.140995417402866	1.8404765279662252	183.97413993171023
0	-90	0	90	200	90	14.018723538315289	7.032893668973444	188.01322547156397
0	-90	40	-90	0	-90	9.82616820434236	3.20984351967952	159.34142967295
0	-90	40	-90	0	-45	6.4188635472381375	0.09419279490887567	135.9399548203497
0	-90	40	-90	0	0	3.679927058168465	-2.4060289229857887	116.90424842361588
0	-90	40	-90	0	45	1.4926335172253977	-4.394395712397463	101.46557504829693
0	-90	40	-90	0	90	-0.24766123956170905	-5.967922784688209	88.97574019801291
0	-90	40	-90	40	-90	-1.5388361340587178	-7.031803016073407	78.93781531823902
0	-90	40	-90	40	-45	-1.4327764653016246	-7.837245312530094	70.98967207970418
0	-90	40	-90	40	0	-0.7990994597307071	-7.516530053225807	64.91168165345144
0	-90	40	-90	40	45	-0.8421133114317599	-6.279951506428432	60.241685713029824
0	-90	40	-90	40	90	-2.0173057217342727	-5.221249359503	56.423421054312584
0	-90	40	-90	80	-90	-6.039642657446723	-12.53432425668019	59.16791332751704
0	-90	40	-90	80	-45	-5.049500891060328	-18.155637777395796	61.531684134175585
0	-90	40	-90	80	0	-3.774426258737006	-22.286271222667086	65.79945260226087
0	-90	40	-90	80	45	-3.5221343837737575	-21.442167622332473	71.79813146396702
0	-90	40	-90	80	90	-7.314113292169626	-18.958992646180306	75.133544345451
0	-90	40	-90	120	-90	-13.467405138897874	-29.867028371948635	79.0532516468104
0	-90	40	-90	120	-45	-12.268299574274337	-38.10012640441592	82.45228779038989
0	-90	40	-90	120	0	-8.779082207172245	-40.33667476846571	88.42584510839619
0	-90	40	-90	120	45	-9.26098677232826	-38.11109839483531	96.206947750647
0	-90	40	-90	120	90	-15.552749219426484	-35.59674084671528	101.2172081239465
0	-90	40	-90	160	-90	-21.945130783236213	-47.00729740598755	106.63358464862773
0	-90	40	-90	160	-45	-20.908273262162684	-55.71414945442227	111.35706796611508
0	-90	40	-90	160	0	-17.489725215017238	-58.08258935909328	118.23130889620514
0	-90	40	-90	160	45	-18.084412657518044	-55.50843856825091	126.07980996135257
0	-90	40	-90	160	90	-24.517027023119006	-53.12516964143142	131.56591868604062
0	-90	40	-90	200	-90	-31.005826767087775	-64.90769600918793	137.809137176701
0	-90	40	-90	200	-45	-30.056156805795286	-73.87768698545291	143.1465987876658
0	-90	40	-90	200	0	-26.70365660419666	-76.38041641264888	150.36963662478996
0	-90	40	-90	200	45	-27.336276109575422	-73.86894451070675	158.42344534504446
0	-90	40	-90	200	90	-33.80760091955847	-71.57022756182266	164.1368703717442
0	-90	40	-45	0	-90	-25.77570805466405	-59.619852709498986	139.40116593274303
0	-90	40	-45	0	-45	-19.33943671281314	-50.012758106587036	119.4345498524701
0	-90	40	-45	0	0	-14.199803978227152	-42.3041155005195	103.34080971953158
0	-90	40	-45	0	45	-10.102931543980034	-36.12626275115755	90.38637268612644
0	-90	40	-45	0	90	-6.839621585569629	-31.178873216397353	79.97119386043623
0	-90	40	-45	40	-90	-5.478449975265068	-27.16041876508993	71.79893541368429
0	-90	40	-45	40	-45	-3.2602363545690713	-23.846724852231404	65.14906199063948
0	-90	40	-45	40	0	-0.9396917014912622	-20.245916098023226	60.102555667869936
0	-90	40	-45	40	45	0.3779923431514838	-16.43911740992049	56.41356089843624
0	-90	40	-45	40	90	0.31492804800372975	-13.353833892730266	53.574493910707396
0	-90	40	-45	80	-90	0.8229268268075607	-18.856809792940382	57.32724884826282
0	-90	40	-45	80	-45	5.268394695796993	-22.79996156915595	59.211581574008356
0	-90	40	-45	80	0	10.12535255603947	-25.096720285612978	62.51424310580671
0	-90	40	-45	80	45	13.786713700832616	-23.15054408241679	67.98829173513353
0	-90	40	-45	80	90	12.426260176049077	-20.203609530838307	72.6487467754054
0	-90	40	-45	120	-90	12.477529662110571	-30.63737833659474	78.26905567194648
0	-90	40	-45	120	-45	18.15044408806214	-38.00667940481434	80.54664340135021
0	-90	40	-45	120	0	25.838153214869916	-39.12055238446347	84.06958632995294
